requirement_id,theme,requirement,status,evidence_strength,evidence_summary,evidence_paths,next_action
R01,MARL implementation,Use a real slot-level MARL environment and actor-critic training/evaluation path.,PASS,code+tests,"6/6 core MARL code/test files are present; this proves an implemented MARL pipeline, not that learned weights dominate every rule residual.",05_simulation/src/isac_nd_sim/marl_env.py;05_simulation/run_marl_training.py;05_simulation/run_marl_evaluate.py;05_simulation/src/isac_nd_sim/neural_contention_actor_critic.py;05_simulation/tests/test_marl_env_contract.py;05_simulation/tests/test_marl_fiveway_eval_campaign.py,Keep future manuscript wording tied to the implemented MAPPO-style actor-critic path and avoid implying exhaustive MARL-family dominance.
R02,Training trace,"Train in a small source setting N=10, B=10, 300 slots/episode, with step-indexed reward evidence.",PASS,main,"Training manifest reports 3 runs, 90000 step rows, 300 episode rows, 198 eval rows.",06_analysis/paper_tables/marl/p10_gate_training_3seed_100ep_step_curves/manifest.json,"For a stronger revision, add an independent training re-run or more seeds only if compute budget allows."
R03,Final transfer,"Evaluate zero-shot N=10/B=10 policies at N=100, 3000 slots, B=10 and B=15.",PASS,main,"Final comparison has nodes=100, slots=3000, beams=10.0;15.0, rows=18.",06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,Keep 3/5/30-degree results outside the final-main claim unless rerun with the same Phase10 method set.
R04,Baseline completeness,"Compare against random, literature-inspired directional, MARL without ISAC, improved no-ISAC, and ISAC MARL variants.",PASS,main_with_caveat,Final methods cover 9/9 required method groups.,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,SkyOrbs-like must remain labelled as inspired/approximate unless a faithful reproduction is added.
R05,ISAC gain,Show that ISAC-assisted MARL improves discovery over blind/directional and no-ISAC MARL baselines.,PASS,main,Minimum actor discovery ratio is 22.31x vs random/SkyOrbs-like and 97.46x vs no-ISAC MARL across B=10/15.,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,Do not state a universal two-order gain at B=15 against all directional baselines.
R06,Network/method innovation,"Demonstrate contention-aware, gated, adaptive, topology-heavy, and balanced actor variants.",PASS,main+code,Final table contains contention and four gate-family variants; code contains matching neural classes.,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv;05_simulation/src/isac_nd_sim/neural_contention_actor_critic.py,"Explain this as a gate-family operating frontier, not one universally dominant policy."
R07,Beamwidth coverage and transfer,"Cover narrow beamwidths around 3-15 degrees, with final main transfer at 10->15 degrees.",CAUTION,main+boundary,Stability summary beams=10.0;15.0;3.0;30.0;5.0; final Phase10 beams=10.0;15.0. B=30 exists only as archived boundary evidence.,06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv;06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,"If reviewers demand full stress coverage, rerun B=3/B=5 with the final Phase10 method set; B=30 is intentionally excluded from the final line."
R08,Node-count scalability,Cover N=10 to N=100 and verify small-to-large transfer.,PASS,main+supplement,Stability summary nodes=10;100;20;50; final main table is N=100 transfer.,06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv;06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv,Keep N=20/N=50 as scalability support unless the final method set is rerun at every N.
R09,Dynamic mobility,Use moving UAV models rather than static topology only.,PASS,main+supplement,Mobility models in stability summary: gauss_markov;random_direction;random_walk;random_waypoint.,06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv,Keep Gauss-Markov as the final main setting and mobility variants as robustness/boundary evidence.
R10,Range abstraction,Make communication/sensing range assumptions explicit and test range sensitivity.,PASS,main+supplement+theory_note,Final Phase10 rows use Rc=900 m and Rs=900 m as a matched-support single-hop setting; range sweeps cover Rc/D=0.65;0.85;1.05 and Rs/Rc=0.5;0.75;1.0;1.25.,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv;06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv;06_analysis/paper_tables/round3_robustness/range_rc_rs_grid/aggregate_metrics.csv;06_analysis/paper_tables/round3_robustness/range_rs_ratio/aggregate_metrics.csv;06_analysis/range_abstraction_theory_note_20260707.md;07_paper/ieee_twc_isac_nd/main.tex;07_paper/ieee_twc_isac_nd/supplement.tex,Keep the equal-range final setting described as matched-support and protocol-level; do not claim hardware-calibrated communication/sensing range equality.
R11,Time-scale assumption,Use 5 ms slot duration and check sensitivity to timing assumptions.,PASS,main+supplement,Slot-duration values in stability summary: 1.0;10.0;100.0;20.0;5.0.,06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv,"Keep 5 ms framed as a modeling assumption, not a PHY timing result."
R12,Statistical reliability,Provide multi-seed/statistical summaries rather than single-run-only claims.,PASS,paired_significance_primary,Final transfer episodes range 10-20; primary paired significance manifest reports 16 confirmatory tests with pass=True.,06_analysis/paper_tables/marl/p10_final_b10_b15_method_comparison_with_v4/marl_method_comparison.csv;06_analysis/paper_tables/statistical_stability_summary/statistical_stability_summary.csv;06_analysis/paper_tables/marl/p10_paired_significance_primary/manifest.json;06_analysis/phase10_paired_significance_report_20260707.md,Keep paired significance wording restricted to primary ISAC-vs-communication-only discovery and empty-scan comparisons; gate-family results remain descriptive.
R13,Reproducibility trace,"Map final method rows to analysis, raw evaluation, checkpoints, and training manifests.",PASS,main,Method trace rows complete: 18/18.,06_analysis/paper_tables/marl/p10_final_method_manifest_trace/phase10_method_manifest_trace.csv,Keep generated trace in the supplement/reproducibility package.
R14,Figure and artifact integrity,"Ensure manuscript figures/tables are present, 4:3 compliant, and hash-tracked.",PASS,artifact_hash,Artifact manifest reports 142 artifacts and 0 missing paths; training manifest lists 19 training/resource figures.,06_analysis/manuscript_artifact_manifest_20260707.json;06_analysis/figure_table_provenance_audit_20260707.md,Regenerate the artifact manifest after every paper/result edit.
R15,Submission wording boundary,"Keep claims aligned with simulator, protocol-level ISAC abstraction, and approximate literature baseline scope.",CAUTION,reviewer_audit,Existing readiness review records 195 supplement/supplement-stress rows and flags SkyOrbs-like/reproduction limits.,06_analysis/submission_readiness_review_20260707.md;06_analysis/figure_table_provenance_audit_20260707.md,"Before submission, run a line-level IEEE style and claim-strength pass."
R16,Independent reproduction,Convert at least part of the current status from ANALYZED to VERIFIED by re-running a selected final experiment.,PASS,verified_partial_rerun,"Independent stochastic re-run for gated_contention_actor at B=10 has status_counts={'MATCH': 5}; this verifies one key final-transfer point, not the full campaign.",06_analysis/phase10_statistical_validation_report_20260707.md;06_analysis/phase10_independent_rerun_validation_20260707.md,Extend independent re-runs to additional methods/beams only if reviewers demand a stronger replication package.
R17,Learned component ablation,"Separate learned actor contribution from strong rule priors, residual logits, candidate masks, and decentralized gates.",CAUTION,focused_ablation_mixed,"Focused B=10/N=100/3000-slot learned-component ablation covers labels=['random_weights_full', 'trained_full', 'trained_no_candidate_mask', 'trained_no_rule_residual', 'zero_weights_rule_only']. Results separate learned weights from rule priors, but support a collision-efficiency claim rather than universal learned-policy dominance.",05_simulation/src/isac_nd_sim/neural_contention_actor_critic.py;05_simulation/src/isac_nd_sim/marl_env.py;05_simulation/run_marl_training.py;05_simulation/run_marl_evaluate.py;06_analysis/phase10_learned_component_ablation_report_20260707.md,"Use conservative wording: learned weights suppress collisions versus random/zero-weight policies, while candidate masking and rule residuals define the discovery/collision/empty-scan tradeoff. Extend to B=15 or more seeds only if needed."
R18,Raw bundle availability,Retain a local or archived raw-result bundle with manifests and checkpoint hashes for the final Phase10 evidence line.,CAUTION,local_trace_not_git_archive,Local method trace paths exist for 28/28 raw manifests and 8/8 checkpoints; 0/36 raw trace files are tracked by Git.,06_analysis/paper_tables/marl/p10_final_method_manifest_trace/phase10_method_manifest_trace.csv,"Before submission or external release, decide whether to archive checkpoints or publish a separate checksum manifest for raw state_dict files."
